taibnet_code,kingdom,phylum,phylum_tw,class,class_tw,order,order_tw,family,family_tw,sciname,spname_tw
404468,Animalia,Porifera,海綿動物門,Demospongiae,尋常海綿綱,Hadromerida,韌海綿目,Suberitidae,皮海綿科,Aaptos suberitoides , 
382959,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Tetraodontiformes,魨形目,Balistidae,鱗魨科,Abalistes stellaris ,星點寬尾鱗魨.. 
382825,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Scorpaeniformes,鮋形目,Scorpaenidae,鮋科,Ablabys macracanthus ,大棘帆鰭鮋.. 
382826,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Scorpaeniformes,鮋形目,Scorpaenidae,鮋科,Ablabys taenianotus ,背帶帆鰭鮋.. 
380859,Animalia,Chordata,脊索動物門,Actinopterygii,條鰭魚綱,Beloniformes,鶴鱵目,Belonidae,鶴鱵科,Ablennes hians ,扁鶴鱵.. 
313739,Animalia,Mollusca,軟體動物門,Bivalvia,雙殼綱,Veneroida,簾蛤目,Semelidae,唱片蛤科,Abra maxima ,薄殼唱片蛤 
313740,Animalia,Mollusca,軟體動物門,Bivalvia,雙殼綱,Veneroida,簾蛤目,Semelidae,唱片蛤科,Abra profundorum japonica , 
314215,Animalia,Mollusca,軟體動物門,Cephalopoda,頭足綱,Teuthida,魷目,Enoploteuthidae,武裝魷科,Abralia andamanica ,安達曼鈎腕魷 
314217,Animalia,Mollusca,軟體動物門,Cephalopoda,頭足綱,Teuthida,魷目,Enoploteuthidae,武裝魷科,Abralia astrostica ,星斑鈎腕魷 
314219,Animalia,Mollusca,軟體動物門,Cephalopoda,頭足綱,Teuthida,魷目,Enoploteuthidae,武裝魷科,Abralia multihamata ,多鈎鈎腕魷 
400976,Animalia,Mollusca,軟體動物門,Cephalopoda,頭足綱,Teuthida,魷目,Enoploteuthidae,武裝魷科,Abralia similis ,相似鈎腕魷 
400030,Animalia,Mollusca,軟體動物門,Cephalopoda,頭足綱,Teuthida,魷目,Enoploteuthidae,武裝魷科,Abraliopsis lineata ,線紋鈎腕魷 
313741,Animalia,Mollusca,軟體動物門,Bivalvia,雙殼綱,Veneroida,簾蛤目,Semelidae,唱片蛤科,Abrina inanis ,瘦阿布蛤 
405268,Animalia,Mollusca,軟體動物門,Bivalvia,雙殼綱,Veneroida,簾蛤目,Semelidae,唱片蛤科,Abrina lunella ,月光唱片蛤 
313742,Animalia,Mollusca,軟體動物門,Bivalvia,雙殼綱,Veneroida,簾蛤目,Semelidae,唱片蛤科,Abrina sibogai ,西伯格阿布蛤 
404713,Animalia,Mollusca,軟體動物門,Bivalvia,雙殼綱,Veneroida,簾蛤目,Semelidae,唱片蛤科,Abrina soyoae ,蒼鷹唱片蛤 
409530,Animalia,Arthropoda,節肢動物門,Ostracoda,介形蟲綱,Podocopida,速足介目,Trachyleheridae,粗面介科,Abrocythereis feishania ,非善艷花介 
